VideoDuration,VideoDatePublished,VideoID,VideoImage,VideoTitle,VideoUrl,VideoViews,Like,Unlike,Khan Style%,Animation%  ,Talking Head%                 ,Whiteboard%
PT14M29S,10/21/2017,CMhsdAE61Yg,https://i.ytimg.com/vi/CMhsdAE61Yg/maxresdefault.jpg,"Four operations Part - 1 | Add, Sub, Multiple & Division | 5th std Maths Syllabus | Mathematics",https://www.youtube.com/embed/CMhsdAE61Yg,43841,759,75,0,2,15,5
PT9M46S,10/26/2020,dSJEEOFaDz0,https://i.ytimg.com/vi/dSJEEOFaDz0/maxresdefault.jpg,Abacus Class - Introduction | Learn basics Abacus | Beginners Abacus Lesson 1,https://www.youtube.com/embed/dSJEEOFaDz0,61682,856,45,0,3,42,5
PT19M16S,10/20/2017,nRU6G1wy--Y,"https://i.ytimg.com/vi/nRU6G1wy--Y/maxresdefault.jpg""",Numbers & Place value - Part 2 | 5th std Maths Syllabus | Mathematics,https://www.youtube.com/embed/nRU6G1wy--Y,140512,245,2,0,1,12,51
PT9M26S,3/22/2016,T5Qf0qSSJFI,https://i.ytimg.com/vi/T5Qf0qSSJFI/maxresdefault.jpg,Math Antics - Place Value,https://www.youtube.com/embed/T5Qf0qSSJFI,2205073,654,56,0,45,75,10
PT18M8S,7/12/2018,Slw5SCy9P14,https://i.ytimg.com/vi/Slw5SCy9P14/maxresdefault.jpg,Rational Numbers,https://www.youtube.com/embed/Slw5SCy9P14,412484,258,3,0,21,78,10
PT5M14S,10/14/2019,Paza3CbdamI,https://i.ytimg.com/vi/Paza3CbdamI/hqdefault.jpg,ce Value And Face Value | Mathematics Grade 2 | Periwinkle,https://www.youtube.com/embed/Paza3CbdamI,572300,321,21,0,1,77,10
PT5M54S,2/5/2017,Y-c25-JBQOg,https://i.ytimg.com/vi/Y-c25-JBQOg/maxresdefault.jpg,"Addition of Length, Cm, Inches, Metres, Kms | Maths For Class 2 | Maths Basics For CBSE Children",https://www.youtube.com/embed/Y-c25-JBQOg,154429,147,52,0,52,77,10
PT25M55S,10/1/2016,wQeU4Wsjn4Y,ttps://i.ytimg.com/vi/wQeU4Wsjn4Y/maxresdefault.jpg,Vinculum | Subtractions | Speed Maths | Vedic Mathematics,https://www.youtube.com/embed/wQeU4Wsjn4Y,79811,582,24,0,65,78,10
PT33M11S,9/17/2018,Q0IFJAOEz8w,https://i.ytimg.com/vi/Q0IFJAOEz8w/maxresdefault.jpg,TN 9th STD Maths || Set Languages || Introduction  || New Syllabus -2018,https://www.youtube.com/embed/Q0IFJAOEz8w,258960,654,58,0,23,79,10
PT6M46S,4/15/2019,k6G-MBQQ_co,https://i.ytimg.com/vi/k6G-MBQQ_co/maxresdefault.jpg,Rounding The Numbers | Mathematics Grade 5 | Periwinkle,https://www.youtube.com/embed/k6G-MBQQ_co,301004,245,6,0,42,75,1
