VideoDuration,VideoPublished Date,VideoID,VideoImageURL,VideoTitle,VideoURL,VideoViews,Like,Unlike,Khan Style%,Animation%  ,Talking Head%                 ,Whiteboard%
PT2M36S,3/27/2015,YFzktJNmnPU,https://i.ytimg.com/vi/YFzktJNmnPU/maxresdefault.jpg,Intro to Symmetry: All About Symmetry for Kids - FreeSchool,https://www.youtube.com/embed/YFzktJNmnPU,1161014,759,21,0,68,12,80
PT11M3S,12/19/2018,HFHdnDvfSyQ,https://i.ytimg.com/vi/HFHdnDvfSyQ/hqdefault.jpg,Class 6 Maths Chapter 13 Symmetry Part 1,"""https://www.youtube.com/embed/HFHdnDvfSyQ",9794,546,32,0,64,11,85
PT9M33S,1/4/2017,9eSSzfneE9c,https://i.ytimg.com/vi/9eSSzfneE9c/maxresdefault.jpg,Maths Symmetry part 1 (Introduction) CBSE Class 6 Mathematics VI,https://www.youtube.com/embed/9eSSzfneE9c,28014,859,25,0,75,14,85
PT15M35S,10/30/2018,APzbhiC2fWQ,https://i.ytimg.com/vi/APzbhiC2fWQ/maxresdefault.jpg,Introduction - Symmetry - Chapter 13 - Class 6th Maths,https://www.youtube.com/embed/APzbhiC2fWQ,296801,652,36,0,74,12,85
PT4M44S,10/25/2019,VD5XW7yBEfw,https://i.ytimg.com/vi/VD5XW7yBEfw/maxresdefault.jpg,Symmetry - More Math for Grades 6-8 on the Learning Videos Channel,https://www.youtube.com/embed/VD5XW7yBEfw,66,42,6,0,78,15,85
PT3M38S,7/14/2020,dAqDwuHOi4g,https://i.ytimg.com/vi/dAqDwuHOi4g/maxresdefault.jpg,Intro to Symmetry (Part 1) | What is Symmetry? | Lines of Symmetry,https://www.youtube.com/embed/dAqDwuHOi4g,69121,1125,42,0,75,52,5
PT72M30S,8/7/2020,wNd4yTg-b6I,https://i.ytimg.com/vi/wNd4yTg-b6I/maxresdefault.jpg,Lesson 1. Bilateral Symmetry | Maths Session for Grade 07,https://www.youtube.com/embed/wNd4yTg-b6I,36402,125,65,0,10,42,5
PT24M46S,2/5/2021,GHI0YoWT1n8,https://i.ytimg.com/vi/GHI0YoWT1n8/hqdefault.jpg,6th maths Term-3 Ch-4 Symmetry | Introduction | Samacheer 2021,,4193,100,12,0,12,53,5
PT12M12S,4/23/2020,TkFvlR8aNj4,https://i.ytimg.com/vi/TkFvlR8aNj4/maxresdefault.jpg,Grade 6 maths sinhala lesson 9,https://www.youtube.com/embed/TkFvlR8aNj4,22779,950,53,0,13,56,5
PT3M33S,1/7/2017,MW0kDNHS6lo,https://i.ytimg.com/vi/MW0kDNHS6lo/maxresdefault.jpg,Symmetrical & Non Symmetrical Shapes,"https://www.youtube.com/embed/MW0kDNHS6lo"", ",238516,420,48,0,12,85,5
