VideoDuration,PubliedDate,VideoID,VideoImageURL,VideoTitle,VideoURL,VideoViews,Like,Unlike,Khan Style%,Animation%  ,Talking Head%                 ,Whiteboard%
PT12M12S,2/19/2019,WwTdAYWOYPs,https://i.ytimg.com/vi/WwTdAYWOYPs/maxresdefault.jpg,Factorization: what is it and how is it done? | Class 8th Maths ,https://www.youtube.com/embed/WwTdAYWOYPs,26822,523,85,0,5,80,10
PT20M45S,4/4/2021,fUOdon3y1hU,https://i.ytimg.com/vi/fUOdon3y1hU/maxresdefault.jpg,ALGEBRAIC EXPRESSIONS & EQUATIONS | GRADE 6,https://www.youtube.com/embed/fUOdon3y1hU,72932,423,65,0,5,80,15
PT7M35S,4/3/2019,JxkWSDpfOFY,https://i.ytimg.com/vi/JxkWSDpfOFY/maxresdefault.jpg,Area | Mathematics Grade 5 | Periwinkle,https://www.youtube.com/embed/JxkWSDpfOFY,195322,152,12,0,5,80,15
PT6M27S,4/28/2017,8hzPIKmCHUA,https://i.ytimg.com/vi/8hzPIKmCHUA/hqdefault.jpg,Invention Of BRAILLE - Language Of The Blind  | The Dr. Binocs Show | Best Learning Video for Kids,https://www.youtube.com/embed/8hzPIKmCHUA,1381992,523,42,0,0,80,15
PT10M25S,2/21/2017,VoLZXXQL-YY,https://i.ytimg.com/vi/VoLZXXQL-YY/maxresdefault.jpg,9 Incredible Science Facts You Probably Didn't Learn At Schoo,https://www.youtube.com/embed/VoLZXXQL-YY,27071506,753,75,0,0,80,5
PT12M7S,12/7/2017,KDO0NbOlN1w,https://i.ytimg.com/vi/KDO0NbOlN1w/maxresdefault.jpg,MATH Quiz: Are You Smarter than 8th grader? | Can You Pass 8th Grade? - 30 Questions,https://www.youtube.com/embed/KDO0NbOlN1w,123975,951,45,0,5,80,5
PT21M32S,11/8/2020,RwZvvJ7OWx0,https://i.ytimg.com/vi/RwZvvJ7OWx0/hqdefault.jpg,Factorize algebraic expressions | Factorization class 8 | algebraic expressions class 9 | Factoriz,https://www.youtube.com/embed/RwZvvJ7OWx0,13792,852,65,0,5,8,5
PT27M49S,6/6/2020,3EnA6Tp3loM,https://i.ytimg.com/vi/3EnA6Tp3loM/maxresdefault.jpg,Fractions I - Grade 8 - 13th lesson - English Medium - Sri Lankan National Curriculum,https://www.youtube.com/embed/3EnA6Tp3loM,3137,152,12,0,0,80,5
PT22M31S,10/15/2019,Z4X2c2Grq4g,"https://i.ytimg.com/vi/Z4X2c2Grq4g/maxresdefault.jpg"", ",NCERT Grade 8 || CBSE Class 8 - Algebraic Expressions and Identities Introduction in Tamil,https://www.youtube.com/embed/Z4X2c2Grq4g,5483,354,62,0,0,80,5
PT105M36S,6/21/2020,GYevDfFTCUs,https://i.ytimg.com/vi/GYevDfFTCUs/maxresdefault.jpg,Lesson 5. Algebraic Expressions |  Maths Session for Grade 09,https://www.youtube.com/embed/GYevDfFTCUs,17366,652,52,0,0,80,5
PT4M40S,12/19/2014,8MNNWrIO5to,https://i.ytimg.com/vi/8MNNWrIO5to/maxresdefault.jpg,How to Use the Inverse Method to Solve a Linear Equation? | Don't Memorise,https://www.youtube.com/embed/8MNNWrIO5to,83467,475,12,0,5,80,5
PT2M15S,12/19/2014,lDOYdBgtnjY,https://i.ytimg.com/vi/lDOYdBgtnjY/maxresdefault.jpg,What is a Linear Equation in One Variable? | Don't Memorise,https://www.youtube.com/embed/lDOYdBgtnjY,272249,963,32,0,5,80,5
PT11M22S,3/18/2018,6RPgw-Vv4BU,https://i.ytimg.com/vi/6RPgw-Vv4BU/maxresdefault.jpg,10 Math Games That'll Boost Your Brain Power By 80,https://www.youtube.com/embed/6RPgw-Vv4BU,2702386,485,50,0,0,80,5
PT4M17S,8/25/2015,mUptoB0mUEs,https://i.ytimg.com/vi/mUptoB0mUEs/maxresdefault.jpg,Algebra as a Pattern,https://www.youtube.com/embed/mUptoB0mUEs,470007,542,30,0,0,80,5
PT18M35S,4/11/2021,9BXFmrjUflo,https://i.ytimg.com/vi/9BXFmrjUflo/maxresdefault.jpg,"SOLVING ALGEBRAIC EQUATIONS | GRADE 6"", ",https://www.youtube.com/embed/9BXFmrjUflo,17863,423,42,0,5,80,5
PT7M53S,11/13/2016,QJr68wc3TM0,https://i.ytimg.com/vi/QJr68wc3TM0/maxresdefault.jpg,Maths Algebraic Expressions part 1 (Introduction) CBSE Class 7  Mathematics VII,https://www.youtube.com/embed/QJr68wc3TM0,156515,159,32,0,5,80,5
